status, species, listing name, link, spcode
E,"Acornshell, southern","Epioblasma othcaloogensis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F02D,F02D
T,"Bankclimber, purple (mussel)","Elliptoideus sloatianus",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F02E,F02E
E,"Bat, gray","Myotis grisescens",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=A04J,A04J
E,"Bat, Indiana","Myotis sodalis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=A000,A000
T,"Bat, Northern long-eared","Myotis septentrionalis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=A0JE,A0JE
E,"Bean, Choctaw","Villosa choctawensis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F01B,F01B
E,"Bean, Cumberland (pearlymussel)","Villosa trabalis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F000,F000
E,"Butterfly, Mitchell's satyr","Neonympha mitchellii mitchellii",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I00K,I00K
E,"Campeloma, slender","Campeloma decampi",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=G098,G098
E,"Cavefish, Alabama","Speoplatyrhinus poulsoni",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E011,E011
T,"Chub, spotfin","Erimonax monachus",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E012,E012
E,"Clubshell, black","Pleurobema curtum",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F011,F011
E,"Clubshell, ovate","Pleurobema perovatum",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F035,F035
E,"Clubshell, southern","Pleurobema decisum",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F036,F036
E,"Combshell, southern","Epioblasma penita",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F012,F012
E,"Combshell, upland","Epioblasma metastriata",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F02F,F02F
E,"Crane, Mississippi sandhill","Grus canadensis pulla",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B04I,B04I
E,"Darter, boulder","Etheostoma wapiti",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E05P,E05P
T,"Darter, goldline","Percina aurolineata",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E05S,E05S
E,"Darter, rush","Etheostoma phytophilum",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E0AB,E0AB
T,"Darter, slackwater","Etheostoma boschungi",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E01B,E01B
T,"Darter, snail","Percina tanasi",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E010,E010
T,"Darter, trispot","Etheostoma trisella",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E05G,E05G
E,"Darter, vermilion","Etheostoma chermocki",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E098,E098
E,"Darter, watercress","Etheostoma nuchale",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E00U,E00U
E,"Ebonyshell, round","Fusconaia rotulata",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F02G,F02G
T,"Elimia, lacy (snail)","Elimia crenatella",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=G063,G063
E,"Fanshell","Cyprogenia stegaria",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F02H,F02H
